"Ict Extensions","Ict Extensions"
"Exit Intent Discount Popup","Exit Intent Discount Popup"
"Global Configuration","Global Configuration"
"Enable","Enable"
"Mobile Delay (ms)","Mobile Delay (ms)"
"Popup Frequency","Popup Frequency"
"Background Color","Background Color"
"Font Color","Font Color"
"Button Color","Button Color"
"Button Text Color","Button Text Color"
"Promotion Configuration","Promotion Configuration"
"Coupon Rule","Coupon Rule"
"Copy Button Text","Copy Button Text"
"Apply Button Text","Apply Button Text"
"Default: Apply Code","Default: Apply Code"
"Popup Content","Popup Content"
"Popup Heading","Popup Heading"
"Popup Description","Popup Description"
"Discount Label","Discount Label"
"Close Button Text","Close Button Text"
"Default: No Thanks","Default: No Thanks"
"Once Per Session","Once Per Session"
"Always","Always"
"-- Please Select --","-- Please Select --"
"This coupon code has already been used and cannot be applied again.","This coupon code has already been used and cannot be applied again."
"Limited Offer","Limited Offer"
"Coupon code copied!","Coupon code copied!"
"Close popup","Close popup"
"Discount coupon code","Discount coupon code"
"Copy coupon code to clipboard","Copy coupon code to clipboard"
"Apply coupon code to cart","Apply coupon code to cart"
"Coupon applied!","Coupon applied!"
"Unable to apply this coupon code. Please try again.","Unable to apply this coupon code. Please try again."
"Login Prompt Content","Login Prompt Content"
"Shown to guests instead of the discount popup, until they log in.","Shown to guests instead of the discount popup, until they log in."
"Login Prompt Frequency","Login Prompt Frequency"
"Login Prompt Heading","Login Prompt Heading"
"Login Prompt Message","Login Prompt Message"
"Login Button Text","Login Button Text"
"Default: Login","Default: Login"
"Register Link Text","Register Link Text"
"Default: New customer? Create an account","Default: New customer? Create an account"
